X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,City,State,addrtype,addrlocat
-78.7729530840235,35.7713796409983,924 Kathryn Street,Greenwood Forest,1547,1963,3,2,0,Detached,"$250,000","$250,000",.26-.5 Acres,9,0,0.9845,"$206,218.00",No,1,0,24,24,NA,Cary,NC,place
-78.7532163685295,35.7621661516148,1209 Fairlane Road,Hillsdale Forest,1570,1963,3,2,0,Detached,"$250,000","$250,000",.51-.75 Acres,7,446,0.88,"$206,026.00",No,2,0,14,14,NA,Cary,NC,place
-78.81254,35.782825,100 Culcross Court,Hampstead Park,1752,1985,3,2,1,Detached,"$250,000","$250,000",.26-.5 Acres,7,192,0.9505,"$229,402.00",No,1,0,4,4,NA,Cary,NC,place
-78.8837638,35.8057914,3917 Brokenshire Street,Fryars Gate,1815,2014,3,3,1,Attached,"$245,000","$250,000",0-.25 Acres,6,0,0.95,"$229,975.00",No,1,1,1,1,NA,Cary,NC,highway
-78.8259349814313,35.7685131438515,110 Bayreuth Place,Brookgreen Forest,1569,1996,3,2,0,Detached,"$250,000","$250,000",.26-.5 Acres,6,0,0.9505,"$237,166.00",No,0,2,5,5,NA,Cary,NC,place
-78.9069337239466,35.8137107913533,517 Portstewart Drive,Cary Park,2061,2016,4,4,1,Attached,"$252,380","$250,490",0-.25 Acres,9,0,1.484,$0.00,Yes,0,0,0,0,NA,Cary,NC,place
-78.9069337239466,35.8137107913533,517 Portstewart Drive,Cary Park,2060,2016,4,4,1,Attached,"$259,380","$250,490",0-.25 Acres,9,0,0.98,$0.00,Yes,0,0,104,104,NA,Cary,NC,place
-78.9008964708405,35.8490994057903,442 Panorama View Loop,Stonewater,1754,2012,2,2,1,Attached,"$249,900","$252,000",0-.25 Acres,7,0,0.9845,"$203,573.00",No,0,1,5,5,NA,Cary,NC,place
-78.8024104092585,35.7866335129631,105 Thensia Court,Dutchess Village,2200,1991,4,2,2,Detached,"$254,900","$252,000",0-.25 Acres,7,0,0.98,"$243,602.00",No,1,0,194,138,NA,Cary,NC,place
-78.8401940096483,35.7801255121783,224 Trailview Drive,Canterbury,2034,1994,3,2,1,Detached,"$279,999","$253,500",.26-.5 Acres,7,0,0.9845,"$272,173.00",No,1,2,23,23,NA,Cary,NC,place
