X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,city,state,addrtype,addrlocat
-78.8518169411655,35.7431970876298,1014 Tribayne Court,Haddon Place,2643,1996,3,2,1,Detached,"$364,500","$359,500",.26-.5 Acres,8,0,0.864,"$308,677.00",No,1,2,101,101,0.99,NA,Apex,NC,place
-78.8710606725798,35.7349939900215,305 Cameron Glen Drive,Cameron Park,2245,1998,4,2,1,Detached,"$360,000","$360,000",0-.25 Acres,8,0,0.96,"$308,514.00",No,1,2,3,3,1,NA,Apex,NC,place
-78.8266670511827,35.7409618506501,1202 Wellstone Circle,Shepherds Vineyard,2751,1986,4,2,1,Detached,"$350,000","$360,000",.26-.5 Acres,13,1748,0.98,"$311,768.00",No,1,2,5,5,1.03,NA,Apex,NC,place
-78.8370848979592,35.7361885714286,2003 Charington Court,Shepherds Vineyard,2679,1991,4,2,1,Detached,"$364,900","$362,000",.26-.5 Acres,10,0,1.045,"$284,944.00",No,1,2,8,8,0.99,NA,Apex,NC,place
-78.868795,35.7608368,1913 Castleburg Drive,Charleston Village,2635,1997,4,2,1,Detached,"$360,000","$365,000",0-.25 Acres,12,0,0.9805,"$269,268.00",No,1,2,3,3,1.01,NA,Apex,NC,building
-78.8685997538663,35.7270816184088,1606 Grappenhall Drive,Whitehall Manor,2391,2006,3,2,1,Detached,"$375,000","$365,000",.26-.5 Acres,7,0,0.98,"$299,694.00",No,1,2,8,8,0.97,NA,Apex,NC,place
-78.8647714957382,35.7437295000554,916 Haddon Hall Drive,Haddon Hall,2672,1999,3,2,1,Detached,"$375,000","$368,000",.26-.5 Acres,9,0,0.98,"$344,826.00",No,1,2,27,27,0.98,NA,Apex,NC,place
-78.8290938331352,35.7421179465841,1305 Apache Lane,Shepherds Vineyard,2887,1989,4,2,1,Detached,"$360,000","$368,000",.26-.5 Acres,9,0,1.045,"$312,561.00",No,1,2,2,2,1.02,NA,Apex,NC,place
-78.8843262448559,35.7523200682482,2403 Walden Creek Drive,Walden Creek,2775,1997,4,2,1,Detached,"$379,900","$369,000",.26-.5 Acres,10,228,0.99,"$326,120.00",No,1,2,57,57,0.97,NA,Apex,NC,place
-78.8780113809023,35.7270296540898,325 Village Loop Drive,Scotts Mill,2644,2003,4,3,1,Detached,"$375,000","$373,000",0-.25 Acres,10,0,1.0045,"$300,831.00",No,1,2,20,20,0.99,NA,Apex,NC,place
-78.8836984489796,35.7293182040816,305 Hickory Bottom Court,Scotts Mill,2535,1999,4,2,1,Detached,"$374,900","$374,000",.26-.5 Acres,9,272,0.9805,"$362,489.00",No,1,2,41,41,1,NA,Apex,NC,place
