X,Y,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Geocode Qu,City,State,addrtype,addrlocat
-78.7144565926972,35.7878048671485,412 Heather Drive,Not in a Subdivision,2202,2016,4,2,1,Detached,"$339,900","$337,000",0-.25 Acres,7,0,1.0355,"$999,999.00",Yes,1,2,52,52,0.99,NA,Raleigh,NC,place
-78.7051685891569,35.9463328613976,3405 Stallion Court,Black Horse Run,2830,1983,4,3,0,Detached,"$336,000","$337,500",1-2.9 Acres,8,319,0.6101,"$321,154.00",No,1,2,12,12,1,NA,Raleigh,NC,place
-78.67040945,35.85026775,5112 Knaresborough Road,Yorkshire Downs,2325,1983,4,3,0,Detached,"$339,000","$338,000",.26-.5 Acres,8,294,1.17,"$247,308.00",No,1,1,5,5,1,NA,Raleigh,NC,building
-78.6068495869189,35.8935959685735,2021 Thorpshire Drive,Thorpshire Farm,2752,1984,4,2,1,Detached,"$347,500","$339,500",.26-.5 Acres,10,0,1.0355,"$334,558.00",No,1,2,90,90,0.98,NA,Raleigh,NC,place
-78.7964299605952,35.8988200681072,10529 SABLEWOOD Drive,Brier Creek,1938,2016,2,2,1,Condo,"$336,995","$339,833",0-.25 Acres,6,0,0.98,"$298,995.00",Yes,0,1,111,111,1.01,NA,Raleigh,NC,place
-78.652758,35.795841,1300 St Marys Street,Not in a Subdivision,1125,2015,2,2,0,Condo,"$339,900","$339,900",0-.25 Acres,4,0,0.91,"$339,900.00",Yes,0,0,24,24,1,NA,Raleigh,NC,place
-78.6256440158971,35.7751548151092,822 E Davie Street,Not in a Subdivision,1507,2016,3,2,1,Detached,"$339,900","$339,900",0-.25 Acres,6,758,1.09,"$200,382.00",Yes,0,0,8,8,1,NA,Raleigh,NC,place
-78.6250676822578,35.7821482835345,1005 E Jones Street,Oakwood Fringe,1335,1930,3,2,0,Detached,"$339,999","$339,999",0-.25 Acres,6,0,1.02,"$101,126.00",No,0,0,2,2,1,NA,Raleigh,NC,place
-78.7368922631297,35.911046177636,7602 Cape Charles Drive,Harrington Pointe,2193,2006,3,2,0,Detached,"$350,000","$340,000",0-.25 Acres,6,0,1.0188,"$337,512.00",No,2,2,24,24,0.97,NA,Raleigh,NC,place
-78.644946,35.784911,400 W North Street,West Condominiums,1264,2008,2,2,0,Condo,"$349,000","$340,000",0-.25 Acres,4,0,1.1141,"$300,242.00",No,0,0,21,21,0.97,NA,Raleigh,NC,place
-78.6728662218713,35.8829523199658,7621 Pinewild Court,Clandon Forest,1924,1990,3,2,1,Detached,"$335,000","$340,000",0-.25 Acres,7,157,1.03,"$272,079.00",No,1,1,2,2,1.01,NA,Raleigh,NC,place
-78.6826838687471,35.8770768332568,7105 Wilderness Road,Brookdale,2033,1998,4,2,1,Detached,"$340,000","$340,000",.26-.5 Acres,8,0,1.01,"$298,462.00",No,1,2,2,2,1,NA,Raleigh,NC,place
-78.7091594285714,35.7709497142857,5314 Athena Woods Lane,Athens Wood,2290,2004,3,2,1,Detached,"$350,000","$340,000",.26-.5 Acres,8,0,1.0185,"$313,245.00",No,1,2,6,6,0.97,NA,Raleigh,NC,place
