X,Y,,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,City,State,addrtype,addrlocat
-78.88117,35.736877,204,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2053830/0/60/45/b92b80941b2603dece7a7f961a92d1bb/2/caeaaef6badd81de27c2d8d9ac7f22d3/2053830.JPG,2053830,CLOSED,015/B,1003 Pennington Way,Pearson Farms,1869,1996,4,2,1,Detached,"$282,500","$283,500",.26-.5 Acres,8,0,1.0045,"$247,181.00",No,1,2,2,2,4/22/2016,1,NA,Apex,NC,street_address
-78.863134,35.733181,205,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096804/0/60/45/63cf8b98ac3cfb2e7e4357eb258d80c3/2/8fcb959cbb4e363c8b11bb37ba3fd889/2096804.JPG,2096804,CLOSED,015/B,606 N Coalport Drive,Amherst,2190,1995,4,2,1,Detached,"$292,000","$284,500",.26-.5 Acres,9,0,0.97,"$252,095.00",No,1,1,48,48,1/25/2017,0.97,NA,Apex,NC,street_address
-78.8913,35.732909,206,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2061130/0/60/45/4c5a1bba69899e254324a6d5d54bdf23/2/0517e84ddf1ec60f55351fd1d8acd797/2061130.JPG,2061130,CLOSED,015/B,1208 Twelve Oaks Lane,Ashley Downs,2111,2001,3,2,1,Detached,"$300,000","$285,000",.26-.5 Acres,8,0,1.0045,"$238,533.00",No,1,2,10,10,8/26/2016,0.95,NA,Apex,NC,street_address
-78.882047,35.75793,207,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082066/0/60/45/1231463ee239ea3140c90908b01cacc8/2/653ae092dcec7c0ed171e056acdfeaab/2082066.JPG,2082066,CLOSED,010/A,2403 Dial Drive,Walden Creek,1752,1998,3,2,0,Detached,"$285,000","$285,000",0-.25 Acres,7,66,0.9805,"$254,542.00",No,1,2,2,2,9/8/2016,1,NA,Apex,NC,street_address
-78.869276,35.732008,208,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2064323/0/60/45/688368786d4f0130ebd39dbf2abd38ab/2/3c1de6466a52d42afa8992d467f41322/2064323.JPG,2064323,CLOSED,015/B,1910 WHITE DOGWOOD Road,Amherst,2260,2001,3,2,1,Detached,"$289,000","$286,000",0-.25 Acres,8,0,1.004,"$265,830.00",No,1,1,8,8,6/20/2016,0.99,NA,Apex,NC,street_address
-78.898142,35.720462,209,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2054402/0/60/45/34161d7b3c28104acc95d38ee17b8c98/2/c864f273e7f570181c8cec638a4472af/2054402.JPG,2054402,CLOSED,015/B,2002 Driskill Court,Crocketts Ridge,1931,1999,4,2,1,Detached,"$284,900","$286,000",0-.25 Acres,7,0,1,"$241,640.00",No,1,2,2,2,4/29/2016,1,NA,Apex,NC,street_address
-78.8497,35.738667,210,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2018851/0/60/45/8d79379ebc1ade6ee5aa3d15712b7719/2/0821c469f2f87013e663678f2fd82ff5/2018851.JPG,2018851,CLOSED,015/C,202 Abbey Oak Lane,Salem Oaks,2370,1998,5,3,1,Detached,"$279,900","$286,500",0-.25 Acres,9,0,2,"$234,238.00",No,1,2,186,186,3/10/2016,1.02,NA,Apex,NC,street_address
-78.9095725,35.7247206,211,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082954/0/60/45/795c1bb9ec5a17e005dafabd6975858c/2/e457548d48efc07f415208520176be36/2082954.JPG,2082954,CLOSED,015/B,203 New Timber Path,Hollands Crossing,2068,2000,3,2,1,Detached,"$274,900","$287,000",0-.25 Acres,7,0,0.874,"$244,575.00",No,1,2,3,3,9/9/2016,1.04,NA,Apex,NC,premise
-78.84111,35.7594769,212,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2076799/0/60/45/78a227c0ca1ca979924a2211ef7c1d9a/2/40a8ffabd2a63e1c3cd68726006683b9/2076799.JPG,2076799,CLOSED,005/B,1203 Branum Court,St James Village,1982,1999,3,2,1,Detached,"$275,000","$287,000",0-.25 Acres,8,0,0.9805,"$262,727.00",No,1,2,1,1,8/4/2016,1.04,NA,Apex,NC,street_address
-78.901158,35.728089,213,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2094725/0/60/45/e821fd995ef2d28b2daee7b84b2f72e5/2/0bf243aae0f04b88569278cd54fde9d6/2094725.JPG,2094725,CLOSED,015/B,306 Chapel Valley Lane,Kelly West,1928,2005,3,2,1,Detached,"$282,000","$287,000",0-.25 Acres,7,0,0.00988,"$260,718.00",No,1,2,3,3,11/30/2016,1.02,NA,Apex,NC,street_address
-78.8508515,35.7343777,214,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2091747/0/60/45/1b2dbcbd4c4be7d3561060f2581e48dc/2/fb8ad29877a3d337254adce0a7a71fd4/2091747.JPG,2091747,CLOSED,015/C,1207 Brittany Point Court,Brittany Trace,2259,1996,4,2,1,Detached,"$289,500","$288,000",0-.25 Acres,8,0,0.9805,"$224,938.00",No,1,1,19,19,11/22/2016,0.99,NA,Apex,NC,premise
-78.909554,35.735664,215,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2049249/0/60/45/1c8fb5258752926693556c8c532e0d10/2/61f57ce60ca61b1cb6cc629918ff5bdb/2049249.JPG,2049249,CLOSED,015/B,3202 Shopton Drive,Woodridge,1960,2000,3,2,1,Detached,"$285,500","$288,000",.26-.5 Acres,7,0,1.0045,"$295,755.00",No,1,2,2,2,3/31/2016,1.01,NA,Apex,NC,street_address
-78.869617,35.729683,216,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2028720/0/60/45/1448ee87d92a4295b5d91d6da678b0a3/2/1760679afee0e8adf7de39ece0556225/2028720.JPG,2028720,CLOSED,015/B,1075 Vauxhall Drive,Amherst,2246,2001,4,2,2,Detached,"$289,000","$288,000",0-.25 Acres,10,0,1.0045,"$256,663.00",No,1,2,91,91,2/22/2016,1,NA,Apex,NC,street_address
-78.8977229,35.720236,217,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2092091/0/60/45/c218d6029052665404c516c3a6cfcdaf/2/24c7e2d4415368e077e9a9487552a0b9/2092091.JPG,2092091,CLOSED,015/B,2019 Jerimouth Drive,Crocketts Ridge,1970,1999,4,2,1,Detached,"$289,900","$289,000",0-.25 Acres,8,0,1.02,"$250,400.00",No,1,2,8,8,11/15/2016,1,NA,Apex,NC,premise
-78.902512,35.728698,218,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2082472/0/60/45/3e1153e341fd87901c15576fb6929537/2/69b547d3cf19f8a63218bc6ce01b350a/2082472.JPG,2082472,CLOSED,015/B,102 Kelly Brook Court,Kelly West,2118,2003,4,3,1,Detached,"$289,900","$289,900",.26-.5 Acres,8,0,0.9805,"$248,303.00",No,1,2,20,20,10/3/2016,1,NA,Apex,NC,street_address
-78.869189,35.730539,219,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2047020/0/60/45/9a595b30933f10e92c471412f1117f61/2/2b35eb439a8f880cc9b6f0c1990d028a/2047020.JPG,2047020,CLOSED,015/B,1048 Torrence Drive,Amherst,2250,2001,4,2,1,Detached,"$289,900","$289,900",0-.25 Acres,8,0,1.0045,"$266,332.00",No,1,2,3,3,3/21/2016,1,NA,Apex,NC,street_address
-78.872049,35.7316,220,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2096491/0/60/45/ab6d1abaef3dd2873e72a6fec839bd85/2/42e747b874652b388b1acaf5ecc63feb/2096491.JPG,2096491,CLOSED,015/B,604 Cameron Glen Drive,Cameron Park,1800,1999,3,2,1,Detached,"$289,900","$289,900",0-.25 Acres,7,0,1.0045,"$260,893.00",No,1,2,5,5,1/6/2017,1,NA,Apex,NC,street_address
