X,Y,Pics,MLS #,Status,SubArea,Address,Subdivisio,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property T,List Price,Sold Price,Acres,# of Rooms,Total Othe,Tax Rate,Tax Value,New Constr,Fireplace,Garage,Cumulative,Days On Ma,Closing Da,Geocode Qu,city,state,addrtype,addrlocat
-78.841229349939,35.7317608660024,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2071047/0/60/45/78cabca2dd39c076ade08d3dc357cd20/2/a1bdfbaf0dc26e2d00fecbe712d2d2a2/2071047.JPG,2071047,CLOSED,015/C,616 Sawcut Lane,Old Mill Village,1919.0,2007,3,3,0,Attached,"$225,000","$230,000",0-.25 Acres,6,0.0,0.96,"$225,005.00",No,1,3,21,21,9/20/2016,1.02,NA,Apex,NC,place
-78.8419510971418,35.7307197796822,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2100981/0/60/45/b5739bd67e9579f91d8db527bcbe89df/2/8780380553cc1bcfe454a7e424ace7d5/2100981.JPG,2100981,CLOSED,015/C,204 Grindstone Drive,Old Mill Village,1901.0,2007,3,3,0,Attached,"$237,500","$236,500",0-.25 Acres,9,0.0,0.9805,"$206,485.00",No,0,3,22,22,2/2/2017,1.0,NA,Apex,NC,place
-78.902855401377,35.7311842149595,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2087447/0/60/45/c8b293034fcf7d3922f5896920498ca6/2/62c8ebd6b8f0b11f3d60214b71582a49/2087447.JPG,2087447,CLOSED,015/B,110 Grassy Ridge Court,Kelly West,1503.0,2000,3,2,1,Detached,"$235,000","$237,000",.26-.5 Acres,6,0.0,0.99,"$239,080.00",No,1,2,4,4,10/17/2016,1.01,NA,Apex,NC,place
-78.8672192590652,35.7412565106232,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2092970/0/60/45/031807d94623c259344350ccc27c1bf6/2/f9011ebb3a7c8017903e538f6ec10b0d/2092970.JPG,2092970,CLOSED,015/C,118 Wirks Worth Circle,Haddon Hall,2477.0,2009,3,3,1,Attached,"$245,900","$238,000",0-.25 Acres,9,0.0,1.004,"$217,373.00",No,0,1,41,41,12/9/2016,0.97,NA,Apex,NC,place
-78.8522698332105,35.7196126456126,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090063/0/60/45/479bd849dcb4ee4be65db25a566d864b/2/b36fe452edb813f34144949917485ef4/2090063.JPG,2090063,CLOSED,015/A,303 Estate Drive,Perry Farms,2193.0,1997,4,3,0,Detached,"$239,900","$239,000",0-.25 Acres,8,0.0,0.9805,"$221,560.00",No,1,0,7,7,11/10/2016,1.0,NA,Apex,NC,place
-78.8420662653061,35.7319654081633,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2088077/0/60/45/48dbabf3ba50409230561ab0a4127ee6/2/62c9d362a8ecaea7fb0b75508c15c4c8/2088077.JPG,2088077,CLOSED,015/C,520 Sawcut Lane,Old Mill Village,1958.0,2007,3,2,1,Attached,"$242,900","$240,000",0-.25 Acres,6,0.0,1.0045,"$232,471.00",No,0,3,7,7,11/9/2016,0.99,NA,Apex,NC,place
-78.8291898647637,35.6820903838861,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2093303/0/60/45/ee7acefb62810bcb81be71016efd9366/2/46812c1cc0c20827fb88290f05cc61f9/2093303.JPG,2093303,CLOSED,009/B,110 Gables Gate Court,Sunset Hills,1785.0,1999,4,2,1,Detached,"$239,900","$240,000",0-.25 Acres,7,0.0,0.99,"$197,808.00",No,1,2,5,5,11/17/2016,1.0,NA,Apex,NC,place
-78.8642621639193,35.732974733874,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2090166/0/60/45/bb5460dbe06a2924863757e3b6b099fc/2/6762ae890cdd5eac85d89f9ffbc11909/2090166.JPG,2090166,CLOSED,015/B,704 Bristol Blue Street,Amherst,1595.0,1998,3,2,1,Detached,"$235,000","$240,000",0-.25 Acres,7,0.0,0.989,"$213,936.00",No,1,1,3,3,11/2/2016,1.02,NA,Apex,NC,place
-78.8386873474942,35.7382134590584,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2085652/0/60/45/a4f0b36f60bc380883ba7401f16623dc/2/0c38c2f6b371ef60b2219b7a6fe1ff18/2085652.JPG,2085652,CLOSED,015/C,1013 Oakgate Court,Shepherds Vineyard,2171.0,1990,3,2,1,Detached,"$234,000","$240,000",0-.25 Acres,7,350.0,1.004,"$243,754.00",No,1,2,10,10,10/25/2016,1.03,NA,Apex,NC,place
-78.840045691692,35.7248032555076,http://cdnparap120.paragonrels.com/ParagonImages/Property/p12/TRIANGLE/2093055/0/60/45/41193fdfc54a27b47f5b1c326cf6348e/2/2f990a068a173ee519dee4f202bd568b/2093055.JPG,2093055,CLOSED,015/C,907 Olive Street,Clairmont,1522.0,1983,3,2,0,Detached,"$225,000","$241,500",.26-.5 Acres,6,0.0,0.968,"$190,660.00",No,0,0,5,5,11/10/2016,1.07,NA,Apex,NC,place
